number,value,datetime_start,datetime_complete,duration,params_alpha,params_hidden_layer_sizes,params_learning_rate_init,params_max_iter,state
34,1.1816157600809591,2026-04-14 01:02:13.387610,2026-04-14 01:02:30.139676,0 days 00:00:16.752066,0.0008454393546701329,"(128, 64)",0.0001857011279769235,189,COMPLETE
35,1.255493716603137,2026-04-14 01:02:30.139676,2026-04-14 01:02:43.351041,0 days 00:00:13.211365,0.000767913645426026,"(128, 64)",0.0013285922375384336,162,COMPLETE
36,1.1812905659146749,2026-04-14 01:02:43.351041,2026-04-14 01:02:59.919202,0 days 00:00:16.568161,0.0008279473466014713,"(128, 64)",0.0001726724002355351,188,COMPLETE
37,1.2431151895780996,2026-04-14 01:02:59.919202,2026-04-14 01:03:16.174142,0 days 00:00:16.254940,0.00016317325127700142,"(128, 64)",0.000498614173334939,184,COMPLETE
38,1.1883397646476235,2026-04-14 01:03:16.174142,2026-04-14 01:03:29.574119,0 days 00:00:13.399977,0.0003503941216027705,"(128, 64)",0.00015143167045820054,152,COMPLETE
39,1.1835161330626416,2026-04-14 01:03:29.574119,2026-04-14 01:03:49.079423,0 days 00:00:19.505304,0.0007625881504625523,"(128, 64)",0.00010390499679141541,222,COMPLETE
40,1.183213686922975,2026-04-14 01:03:49.079423,2026-04-14 01:04:08.834855,0 days 00:00:19.755432,0.0007603630630000137,"(128, 64)",0.0001061386459785345,224,COMPLETE
41,1.1842621859639737,2026-04-14 01:04:08.834855,2026-04-14 01:04:28.329741,0 days 00:00:19.494886,0.0006997875571627249,"(128, 64)",0.00010642412649061992,221,COMPLETE
42,1.1947570625194488,2026-04-14 01:04:28.329741,2026-04-14 01:04:45.146345,0 days 00:00:16.816604,0.0003866973126290029,"(128, 64)",0.00010121617293629342,191,COMPLETE
43,1.1956359999990687,2026-04-14 01:04:45.146345,2026-04-14 01:04:59.719325,0 days 00:00:14.572980,0.0008960755602780534,"(128, 64)",0.00031002128190911905,166,COMPLETE
44,1.202858723253949,2026-04-14 01:04:59.719325,2026-04-14 01:05:11.110639,0 days 00:00:11.391314,0.000258372228269983,"(128, 64)",0.00014382300667711994,130,COMPLETE
45,1.2076852567920655,2026-04-14 01:05:11.110639,2026-04-14 01:05:30.629591,0 days 00:00:19.518952,0.0004968662840131701,"(128, 64)",0.0002568497653401464,222,COMPLETE
