number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
32,1.0784214048395577,2026-04-14 00:42:58.779518,2026-04-14 00:43:05.563367,0 days 00:00:06.783849,0.09297696874373096,14,513,67,0.012206297668905353,0.006831831476433883,COMPLETE
33,1.0828448155087351,2026-04-14 00:43:05.563367,2026-04-14 00:43:12.003768,0 days 00:00:06.440401,0.09754782123913021,12,513,67,0.0024862138836709066,0.00010102148952894838,COMPLETE
34,1.0898972323772236,2026-04-14 00:43:12.003768,2026-04-14 00:43:16.597987,0 days 00:00:04.594219,0.12388406166772623,14,439,54,0.012260877299720377,0.005067641089979974,COMPLETE
35,1.110943766961557,2026-04-14 00:43:16.597987,2026-04-14 00:43:19.677830,0 days 00:00:03.079843,0.17610643723094843,11,535,31,0.04725829860721822,0.000987589088512075,COMPLETE
36,1.1079615845293591,2026-04-14 00:43:19.677830,2026-04-14 00:43:20.630357,0 days 00:00:00.952527,0.06328614233138624,14,115,36,0.008853896935352172,0.0055459439168614065,COMPLETE
37,1.1147676073273003,2026-04-14 00:43:20.630357,2026-04-14 00:43:25.023737,0 days 00:00:04.393380,0.17696911088360573,15,620,68,0.30178655942926624,0.0187018200081052,COMPLETE
38,1.1267309970289252,2026-04-14 00:43:25.023737,2026-04-14 00:43:26.565772,0 days 00:00:01.542035,0.03044225513880495,9,336,21,0.00012294677844976865,0.002496228702648427,COMPLETE
39,1.1326896062026324,2026-04-14 00:43:26.565772,2026-04-14 00:43:29.711196,0 days 00:00:03.145424,0.29630848486353106,10,225,138,0.16861696567723172,0.11512541776182118,COMPLETE
40,1.0849537649923555,2026-04-14 00:43:29.711196,2026-04-14 00:43:38.586489,0 days 00:00:08.875293,0.08865400739428472,12,562,100,0.006165784429645804,2.6102964162036026,COMPLETE
41,1.089522932265803,2026-04-14 00:43:38.586489,2026-04-14 00:43:55.193503,0 days 00:00:16.607014,0.07387320075935344,13,939,77,0.015068899440904312,0.03846017270249136,COMPLETE
42,1.0991953088567008,2026-04-14 00:43:55.193503,2026-04-14 00:44:07.563547,0 days 00:00:12.370044,0.11144007490408521,14,735,89,0.02263012986363655,0.015661668569639613,COMPLETE
43,1.073432153502618,2026-04-14 00:44:07.563547,2026-04-14 00:44:14.496297,0 days 00:00:06.932750,0.056376109953437094,13,662,54,0.06961598966737481,0.8154547430952507,COMPLETE
44,1.072026910902524,2026-04-14 00:44:14.497845,2026-04-14 00:44:22.869259,0 days 00:00:08.371414,0.04583124054010396,14,641,64,0.06461695258055275,4.0938528621397134,COMPLETE
45,1.0808784894908754,2026-04-14 00:44:22.869259,2026-04-14 00:44:29.165587,0 days 00:00:06.296328,0.043344847560304996,11,634,51,0.09175900008710318,8.42881398267626,COMPLETE
46,1.0779930100170885,2026-04-14 00:44:29.165587,2026-04-14 00:44:36.662113,0 days 00:00:07.496526,0.054151388144161365,14,637,56,0.05597916768554327,0.9681586163628966,COMPLETE
47,1.0757600375210778,2026-04-14 00:44:36.662113,2026-04-14 00:44:45.104001,0 days 00:00:08.441888,0.054501824612906896,13,664,56,0.05438210893687894,1.0356691390277164,COMPLETE
48,1.0803936936281342,2026-04-14 00:44:45.104001,2026-04-14 00:44:51.662109,0 days 00:00:06.558108,0.03352009234569781,12,659,44,0.168590811411842,5.717107692903251,COMPLETE
49,1.0792609823933752,2026-04-14 00:44:51.662109,2026-04-14 00:45:00.929720,0 days 00:00:09.267611,0.026331832473354327,13,685,61,0.4421398969073581,3.9728264059363396,COMPLETE
